City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,Chupa,66.27,33.0549,39.42,87,98,8.63,RU,2021-09-15 01:18:38
193,Baghdad,33.3406,44.4009,75.11,46,0,5.75,IQ,2021-09-15 01:18:03
194,Husavik,66.0449,-17.3389,48.11,66,100,14.79,IS,2021-09-15 01:18:39
195,Belyy Gorodok,56.965,37.5125,45.54,83,100,12.57,RU,2021-09-15 01:18:39
196,Belaya Gora,68.5333,146.4167,51.17,63,100,9.84,RU,2021-09-15 01:18:39
197,Santa Isabel Do Rio Negro,-0.4139,-65.0192,72.54,97,100,2.35,BR,2021-09-15 01:18:40
198,Severo-Kurilsk,50.6789,156.125,51.8,83,54,11.63,RU,2021-09-15 01:18:40
199,Kudahuvadhoo,2.6708,72.8944,82.0,72,100,6.02,MV,2021-09-15 01:18:40
200,Honggang,46.4667,124.8667,60.82,75,100,8.12,CN,2021-09-15 01:18:40
201,San Quintin,30.4833,-115.95,72.46,72,0,11.27,MX,2021-09-15 01:18:41
202,Souillac,-20.5167,57.5167,67.35,94,20,6.91,MU,2021-09-15 01:18:41
203,Svetlyy,54.675,20.1347,55.45,89,92,5.08,RU,2021-09-15 01:18:41
204,Tongren,27.7172,109.1853,78.8,73,75,2.98,CN,2021-09-15 01:18:41
205,Tanout,14.9709,8.8879,84.78,47,9,8.86,NE,2021-09-15 01:18:42
206,Half Moon Bay,37.4636,-122.4286,91.74,70,1,12.66,US,2021-09-15 01:15:36
207,Clyde River,70.4692,-68.5914,29.1,63,13,0.98,CA,2021-09-15 01:18:42
208,Singkawang,0.9,109.0,75.85,82,100,2.98,ID,2021-09-15 01:18:42
209,Sabzevar,36.2126,57.6819,75.06,13,0,5.01,IR,2021-09-15 01:18:43
210,Prachin Buri,14.0833,101.6667,76.42,90,100,5.7,TH,2021-09-15 01:18:43
211,Avera,33.194,-82.5271,76.71,59,100,6.89,US,2021-09-15 01:18:43
212,Dali,25.7,100.1833,64.33,86,93,1.86,CN,2021-09-15 01:18:43
213,Lorengau,-2.0226,147.2712,81.9,81,98,7.61,PG,2021-09-15 01:18:44
214,Lebu,-37.6167,-73.65,47.37,77,100,7.7,CL,2021-09-15 01:18:44
215,Talcahuano,-36.7167,-73.1167,49.68,76,0,12.66,CL,2021-09-15 01:18:44
216,Nyazepetrovsk,56.0531,59.6028,54.18,60,100,7.09,RU,2021-09-15 01:18:45
217,Pombas,17.1503,-25.0201,78.58,84,100,9.08,CV,2021-09-15 01:18:45
218,Bathsheba,13.2167,-59.5167,83.01,83,75,13.8,BB,2021-09-15 01:18:45
219,Port Lincoln,-34.7333,135.8667,57.67,65,10,13.29,AU,2021-09-15 01:18:45
220,Esmeraldas,-19.7625,-44.3139,81.64,28,12,4.41,BR,2021-09-15 01:18:46
221,Zhangzhou,24.5133,117.6556,87.73,67,6,3.04,CN,2021-09-15 01:18:46
222,Henties Bay,-22.116,14.2845,50.86,90,0,12.39,NA,2021-09-15 01:18:46
223,Gamba,-2.65,10.0,75.69,86,100,5.59,GA,2021-09-15 01:18:47
