City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Bethel,US,41.3712,-73.414,75.85,84,100,2.84,light rain
227,Berdigestyakh,RU,62.0989,126.6992,41.29,91,100,7.36,overcast clouds
228,Kutum,SD,14.2,24.6667,77.2,31,61,5.79,broken clouds
229,Kavieng,PG,-2.5744,150.7967,82.67,75,94,12.33,light rain
230,Dunedin,NZ,-45.8742,170.5036,45.25,82,100,6.51,overcast clouds
231,Chicama,PE,-7.8447,-79.1469,57.74,82,98,8.01,overcast clouds
232,Alofi,NU,-19.0595,-169.9187,82.29,69,75,11.5,broken clouds
233,Mackay,AU,-21.15,149.2,78.04,50,0,8.05,clear sky
234,Tiksi,RU,71.6872,128.8694,41.14,88,100,2.84,light rain
235,La Ronge,CA,55.1001,-105.2842,55.65,35,20,6.91,few clouds
236,Thompson,CA,55.7435,-97.8558,55.56,88,75,3.44,broken clouds
237,Coahuayana,MX,18.7333,-103.6833,80.08,92,97,2.48,overcast clouds
238,Krasnoselkup,RU,65.7,82.4667,41.47,84,95,1.48,overcast clouds
239,Esperance,AU,-33.8667,121.9,64.24,57,47,25.88,scattered clouds
240,Maniitsoq,GL,65.4167,-52.9,35.2,59,90,6.06,overcast clouds
241,Port Said,EG,31.2565,32.2841,76.98,78,20,10.36,few clouds
242,Voyvozh,RU,62.892,54.9635,37.8,93,100,9.53,overcast clouds
243,Mezen,RU,65.8522,44.24,37.72,94,63,4.68,broken clouds
244,Aksu,CN,41.1231,80.2644,70.56,38,62,3.71,broken clouds
245,Lakes Entrance,AU,-37.8811,147.981,58.15,64,9,7.92,clear sky
246,Ahuimanu,US,21.4447,-157.8378,87.51,66,20,11.5,shower rain
247,Mmabatho,ZA,-25.85,25.6333,53.56,24,0,3.44,clear sky
248,Karratha,AU,-20.7377,116.8463,77.76,29,4,15.32,clear sky
249,Georgetown,MY,5.4112,100.3354,83.89,80,20,2.3,few clouds
250,Constantine,DZ,36.365,6.6147,76.41,33,0,5.75,clear sky
251,Tatawin,TN,32.9297,10.4518,77.88,48,7,3.67,clear sky
252,Abu Road,IN,24.4833,72.7833,77.94,93,25,3.11,scattered clouds
253,Saldanha,ZA,-33.0117,17.9442,50.05,85,0,17.52,clear sky
254,Yerbogachen,RU,61.2767,108.0108,39.36,87,100,4.97,overcast clouds
255,Japura,ID,-0.3167,102.35,84.78,66,40,3.69,scattered clouds
256,Necochea,AR,-38.5473,-58.7368,48.87,78,0,10.92,clear sky
257,Upernavik,GL,72.7868,-56.1549,30.51,82,100,9.89,overcast clouds
258,Jeremie,HT,18.65,-74.1167,80.74,77,17,0.69,few clouds
259,Xai-Xai,MZ,-25.0519,33.6442,70.9,88,100,14.32,light rain
260,Manado,ID,1.487,124.8455,77.77,88,40,11.5,moderate rain
261,Malakal,SS,9.5334,31.6605,72.03,82,100,1.63,overcast clouds
262,Abong Mbang,CM,3.9833,13.1833,66.29,99,60,2.57,broken clouds
263,Yar-Sale,RU,66.8333,70.8333,40.12,90,95,8.46,overcast clouds
264,Payson,US,40.0444,-111.7321,85.48,16,1,6.91,clear sky
265,Henties Bay,NA,-22.116,14.2845,48.85,90,2,11.3,clear sky
266,Auki,SB,-8.7676,160.7034,86.13,63,79,4.7,broken clouds
267,Oranjemund,NA,-28.55,16.4333,51.13,86,0,9.44,clear sky
268,Panjab,AF,34.388,67.0233,45.03,23,0,6.04,clear sky
269,Fort Nelson,CA,58.8053,-122.7002,51.39,62,40,9.22,scattered clouds
270,Vardo,NO,70.3705,31.1107,42.22,75,93,4.68,overcast clouds
271,Clarence Town,AU,-32.5833,151.7833,64.81,68,86,2.95,light rain
272,Mushie,CD,-3.0167,16.9,74.25,82,100,3.56,light rain
273,Evensk,RU,61.95,159.2333,51.13,61,98,9.04,overcast clouds
274,Mount Isa,AU,-20.7333,139.5,89.37,13,3,16.11,clear sky
275,Pingliang,CN,35.5392,106.6861,65.7,69,95,5.57,light rain
276,Cherskiy,RU,68.75,161.3,35.87,56,84,13.2,broken clouds
277,Bafq,IR,31.6128,55.4107,71.62,10,0,0.58,clear sky
278,Sola,VU,-13.8833,167.55,79.29,75,77,8.16,broken clouds
279,Allende,MX,25.2833,-100.0167,87.67,78,98,6.38,overcast clouds
280,Youghal,IE,51.95,-7.8506,54.01,100,11,4.92,few clouds
